Product,Release,ExtendedEndDate,End of life,Vendor,End of support,Branch,Status
Dynamics SL 2011,Service Pack 1,2021-07-13,,microsoft,,,
Dynamics SL 2011,Service Pack 2,2021-07-13,,microsoft,,,
Dynamics SL 2011,Service Pack 3,2021-07-13,,microsoft,,,
Dynamics SL 2015,,2025-01-14,,microsoft,,,
Dynamics SL 2018,,2028-07-11,,microsoft,,,
Dynamics SL 6.5,Original Relase,,,microsoft,,,
Dynamics SL 6.5,Service Pack 1,,,microsoft,,,
Dynamics SL 6.5,Service Pack 2,,,microsoft,,,
Dynamics SL 6.5,Service Pack 3,,,microsoft,,,
Dynamics SL 7.0,Original Release,2017-10-10,,microsoft,,,
Dynamics SL 7.0,Service Pack 1,2017-10-10,,microsoft,,,
Dynamics SL 7.0,Service Pack 2,2017-10-10,,microsoft,,,
Dynamics SL 7.0,Service Pack 3,2017-10-10,,microsoft,,,
Dynamics SL 7.0,Service Pack 4,2017-10-10,,microsoft,,,
Engyro Product Connectors for Microsoft Operations Manager 2005,,2015-01-13,,microsoft,,,
Engyro Product Connectors for Microsoft System Center Operations Manager 2007,,2017-07-11,,microsoft,,,
Enhanced Mitigation Experience Toolkit (EMET),,2018-07-31,,microsoft,,,
Excel 2008 for Mac,,,,microsoft,,,
Excel 2010,,2020-10-13,,microsoft,,,
Excel 2010,,2020-10-13,,microsoft,,,
Excel 2010,,2020-10-13,,microsoft,,,
Excel 2013,,2023-04-11,,microsoft,,,
Excel 2016,,2025-10-14,,microsoft,,,
Excel 2016 for Mac,,,,microsoft,,,
Excel 2019,Original Release,2025-10-14,,microsoft,,,
Excel 2019 for Mac,Original Release,,,microsoft,,,
Excel 2021,,,2026-10-13,microsoft,,,
Excel 2021,,,2026-10-13,microsoft,,,
Excel for Mac 2011,,,,microsoft,,,
Excel LTSC 2021,,,,microsoft,,,
Excel LTSC 2021,,,,microsoft,,,
Exchange Server 2003,Original Release,2014-04-08,,microsoft,,,
Exchange Server 2003,Service Pack 1,2014-04-08,,microsoft,,,
Exchange Server 2003,Service Pack 2,2014-04-08,,microsoft,,,
Exchange Server 2003,Original Release,2014-04-08,,microsoft,,,
Exchange Server 2003,Service Pack 1,2014-04-08,,microsoft,,,
Exchange Server 2003,Service Pack 2,2014-04-08,,microsoft,,,
Exchange Server 2007,Original Release,2017-04-11,,microsoft,,,
Exchange Server 2007,Service Pack 1,2017-04-11,,microsoft,,,
Exchange Server 2007,Service Pack 2,2017-04-11,,microsoft,,,
Exchange Server 2007,Service Pack 3,2017-04-11,,microsoft,,,
Exchange Server 2007,Original Release,2017-04-11,,microsoft,,,
Exchange Server 2007,Service Pack 1,2017-04-11,,microsoft,,,
Exchange Server 2007,Service Pack 2,2017-04-11,,microsoft,,,
Exchange Server 2007,Service Pack 3,2017-04-11,,microsoft,,,
Exchange Server 2010,Original Release,2020-10-13,,microsoft,,,
Exchange Server 2010,Service Pack 1,2020-10-13,,microsoft,,,
Exchange Server 2010,Service Pack 2,2020-10-13,,microsoft,,,
Exchange Server 2010,Service Pack 3,2020-10-13,,microsoft,,,
Exchange Server 2010,Original Release,2020-10-13,,microsoft,,,
Exchange Server 2010,Service Pack 1,2020-10-13,,microsoft,,,
Exchange Server 2010,Service Pack 2,2020-10-13,,microsoft,,,
Exchange Server 2010,Service Pack 3,2020-10-13,,microsoft,,,
Exchange Server 2013,Original Release,2023-04-11,,microsoft,,,
Exchange Server 2013,Service Pack 1,2023-04-11,,microsoft,,,
Exchange Server 2013,Original Release,2023-04-11,,microsoft,,,
Exchange Server 2013,Service Pack 1,2023-04-11,,microsoft,,,
Exchange Server 2016,,2025-10-14,,microsoft,,,
Exchange Server 2016,,2025-10-14,,microsoft,,,
Exchange Server 2019,,2025-10-14,,microsoft,,,
Exchange Server 2019,,2025-10-14,,microsoft,,,
Expression,,2017-10-10,,microsoft,,,
Expression,,2017-10-10,,microsoft,,,
Expression,,2017-10-10,,microsoft,,,
Expression,,2017-10-10,,microsoft,,,
Expression 2,,2018-10-09,,microsoft,,,
Expression 2,,2018-10-09,,microsoft,,,
Expression 2,,2018-10-09,,microsoft,,,
Expression 2,,2018-10-09,,microsoft,,,
Expression 2,,2018-10-09,,microsoft,,,
Expression 3,,2020-01-14,,microsoft,,,
Expression 3,,2020-01-14,,microsoft,,,
Expression 3,,2020-01-14,,microsoft,,,
Expression 3,,2020-01-14,,microsoft,,,
Expression 4,,2020-07-14,,microsoft,,,
Expression 4,,2020-07-14,,microsoft,,,
Expression 4,,2020-07-14,,microsoft,,,
Expression 4,,2020-07-14,,microsoft,,,
"FAST Search Server 2010 (for Internet Sites, for Internal Applications)",,2020-10-13,,microsoft,,,
"FAST Search Server 2010 (for Internet Sites, for Internal Applications)",,2020-10-13,,microsoft,,,
"FAST Search Server 2010 (for SharePoint, for SharePoint Internet Sites)",Original Release,2020-10-13,,microsoft,,,
"FAST Search Server 2010 (for SharePoint, for SharePoint Internet Sites)",Service Pack 1,2020-10-13,,microsoft,,,
"FAST Search Server 2010 (for SharePoint, for SharePoint Internet Sites)",Service Pack 2,2020-10-13,,microsoft,,,
"FAST Search Server 2010 (for SharePoint, for SharePoint Internet Sites)",Original Release,2020-10-13,,microsoft,,,
"FAST Search Server 2010 (for SharePoint, for SharePoint Internet Sites)",Service Pack 1,2020-10-13,,microsoft,,,
"FAST Search Server 2010 (for SharePoint, for SharePoint Internet Sites)",Service Pack 2,2020-10-13,,microsoft,,,
Forefront Protection 2010 for Exchange Server,,2015-12-31,,microsoft,,,
Forefront Protection 2010 for SharePoint,,2015-12-31,,microsoft,,,
Forefront Security for Exchange Server,Original Release,2015-12-31,,microsoft,,,
Forefront Security for Exchange Server,Service Pack 1,2015-12-31,,microsoft,,,
Forefront Security for Exchange Server,Service Pack 2,2015-12-31,,microsoft,,,
Forefront Security for Office Communications Server,,2015-12-31,,microsoft,,,
Forefront Security for Sharepoint,Original Release,2015-12-31,,microsoft,,,
Forefront Security for Sharepoint,Service Pack 1,2015-12-31,,microsoft,,,
Forefront Security for Sharepoint,Service Pack 2,2015-12-31,,microsoft,,,
Forefront Security for Sharepoint,Service Pack 3,2015-12-31,,microsoft,,,
FSLogix,,,,microsoft,,,
GPOVault,,,,microsoft,,,
GPOVault,,,,microsoft,,,
GPOVault,,,,microsoft,,,
GPOVault,,,,microsoft,,,
Groove 3.1,,,,microsoft,,,
Groove 3.1,,,,microsoft,,,
Groove 3.1,,,,microsoft,,,
Groove 3.1,,,,microsoft,,,
Groove 3.1,,,,microsoft,,,
Groove 3.1,,,,microsoft,,,
Groove 3.1,,,,microsoft,,,
Groove 3.1,,,,microsoft,,,
Groove 3.1,,,,microsoft,,,
Groove Server 2010,Original Release,2020-10-13,,microsoft,,,
Groove Server 2010,Service Pack 1,2020-10-13,,microsoft,,,
Groove Server 2010,Service Pack 2,2020-10-13,,microsoft,,,
HockeyApp,,,2019-11-16,microsoft,,,
HPC Pack 2008,Original Release,2020-04-14,,microsoft,,,
HPC Pack 2008,Service Pack 1,2020-04-14,,microsoft,,,
HPC Pack 2008,Service Pack 2,2020-04-14,,microsoft,,,
HPC Pack 2008 R2,Original Release,2020-04-14,,microsoft,,,
HPC Pack 2008 R2,Service Pack 1,2020-04-14,,microsoft,,,
HPC Pack 2008 R2,Service Pack 2,2020-04-14,,microsoft,,,
HPC Pack 2008 R2,Service Pack 3,2020-04-14,,microsoft,,,
HPC Pack 2008 R2,Service Pack 4,2020-04-14,,microsoft,,,
HPC Pack 2012,,2023-04-11,,microsoft,,,
HPC Pack 2012 R2,,2023-04-11,,microsoft,,,
HPC Pack 2016,,2027-01-12,,microsoft,,,
HPC Pack 2019,,,,microsoft,,,
Hyper-V Server 2008,,2020-01-14,,microsoft,,,
Hyper-V Server 2008 R2,Original Release,2020-01-14,,microsoft,,,
Hyper-V Server 2008 R2,Service Pack 1,2020-01-14,,microsoft,,,
Hyper-V Server 2012,,2023-10-10,,microsoft,,,
Hyper-V Server 2012 R2,,2023-10-10,,microsoft,,,
Hyper-V Server 2016,,2027-01-12,,microsoft,,,
Hyper-V Server 2019,,2029-01-09,,microsoft,,,
InfoPath 2010,,2020-10-13,,microsoft,,,
Infopath 2013,,2026-07-14,,microsoft,,,
InMage Scout in Azure Site Recovery,,,2020-12-31,microsoft,,,
Internet Explorer 10,,,,microsoft,,,
Internet Explorer 11,,,,microsoft,,,
