Product,Release,ExtendedEndDate,End of life,Vendor,End of support,Branch,Status
IBM Intelligent Video Analytics On Cloud,2.0.0,,,IBM,2017-05-09,,
IBM Intelligent Water,1.0.0,,,IBM,2014-09-30,,
IBM Intelligent Water,1.5.0,,,IBM,2016-09-30,,
IBM Intelligent Water,1.5.1,,,IBM,2016-09-30,,
IBM Intelligent Water,1.6.X,,,IBM,2020-04-30,,
IBM Interact Advanced Patterns,10.0.x,,,IBM,2023-04-30,,
IBM Interact Advanced Patterns,10.1.x,,,IBM,2023-04-30,,
IBM IoT for Energy and Utilities,2.1.x,,,IBM,2022-09-30,,
IBM IoT for Energy and Utilities,2.5.x,,,IBM,2022-09-30,,
IBM IoT for Energy and Utilities,2.8.x,,,IBM,2022-09-30,,
IBM IoT for Manufacturing Private,1.0.x,,,IBM,2022-04-30,,
IBM IoT MessageSight,1.2.x,,,IBM,2019-12-31,,
IBM MessageSight,2.0.x,,,IBM,2021-09-30,,
IBM MessageSight,5.0.0,,,IBM,2022-09-30,,
IBM Iris Counter Fraud Management,5.1.1,,,IBM,,,
IBM Iris Counter Fraud Management,5.3.0,,,IBM,,,
IBM Iris Counter Fraud Management,5.3.1,,,IBM,,,
IBM Kenexa LCMS Premier,10.1.x,,,IBM,,,
IBM Kenexa LCMS Premier,10.2.x,,,IBM,,,
IBM Kenexa LCMS Premier,10.x.x,,,IBM,,,
IBM Kenexa LCMS Premier,9.1.x,,,IBM,2017-09-30,,
IBM Kenexa LCMS Premier,9.2.x,,,IBM,2017-09-30,,
IBM Kenexa LCMS Premier,9.3.x,,,IBM,,,
IBM Kenexa LCMS Premier,9.4.x,,,IBM,,,
IBM Kenexa LCMS Premier,9.5.x,,,IBM,,,
IBM Kenexa LMS,4.1.x,,,IBM,2017-09-30,,
IBM Kenexa LMS,4.2.x,,,IBM,2017-09-30,,
IBM Kenexa LMS,5.0.x,,,IBM,,,
IBM Kenexa LMS,5.1.x,,,IBM,,,
IBM Kenexa LMS,5.2.x,,,IBM,,,
IBM License Metric Tool,7.1.x,,,IBM,2014-04-30,,
IBM License Metric Tool,7.2.x,,,IBM,2016-09-30,,
IBM License Metric Tool,7.5.x,,,IBM,2017-04-30,,
IBM License Metric Tool,9.0.x,,,IBM,2020-09-30,,
IBM License Metric Tool,9.2.x,,,IBM,,,
IBM Lifecycle Integration Adapter for Aras Innovator,1.0.x,,,IBM,2022-04-30,,
IBM Linear Tape File System Enterprise Edition,1.1.0,,,IBM,2018-09-30,,
IBM Linear Tape File System Enterprise Edition,1.1.1,,,IBM,2018-09-30,,
IBM Linear Tape File System Storage Manager,1.1.0,,,IBM,2020-04-30,,
IBM MobileFirst Protect Management Suite,2.1.x,,,IBM,2016-09-30,,
IBM MaaS360 Mobile Application Management,2.1.x,,,IBM,2016-09-30,,
IBM MaaS360 Mobile Application Security,2.1.x,,,IBM,2016-09-30,,
IBM MaaS360 Mobile Content Management,2.1.x,,,IBM,2016-09-30,,
IBM MaaS360 Mobile Device Management,2.1.x,,,IBM,2016-09-30,,
IBM MaaS360 Mobile Email Management,2.1.x,,,IBM,2016-09-30,,
IBM MobileFirst Protect Gateway Suite,2.1.x,,,IBM,2016-09-30,,
IBM MaaS360 Mobile Expense Management,2.1.x,,,IBM,2016-09-30,,
IBM MaaS360 Secure Browser,2.1.x,,,IBM,2016-09-30,,
IBM MobileFirst Protect Content Suite,2.1.x,,,IBM,2016-09-30,,
IBM MaaS360 Secure Mail,2.1.x,,,IBM,2016-09-30,,
IBM MaaS360 Secure Productivity Suite,2.1.x,,,IBM,2016-09-30,,
IBM Machine Learning for z/OS,1.1.x,,,IBM,2020-09-30,,
IBM Machine Learning for z/OS,1.2.x,,,IBM,2023-04-30,,
IBM Management Edition for AIX,1.1.x,,,IBM,2012-04-30,,
IBM Management Edition for AIX,1.2.x,,,IBM,2012-04-30,,
IBM Marketing Platform,9.0.x,,,IBM,2019-04-30,,
IBM Mashup Center,1.0.X,,,IBM,2013-09-30,,
IBM Mashup Center,1.1.X,,,IBM,2014-04-30,,
IBM Mashup Center,2.0.X,,,IBM,2015-04-30,,
IBM Mashup Center,3.0.X,,,IBM,2016-04-30,,
IBM Master Data Management Express,1.0.x,,,IBM,2019-06-19,,
IBM Maximo Asset Performance Management for Energy & Utilities On-Premise,3.0.x,,,IBM,2024-04-30,,
IBM Maximo Asset Performance Management On-Premises,7.6.0,,,IBM,2021-09-30,,
IBM Maximo for Aviation,7.6.7-7.6.8,,,IBM,,,
IBM Maximo for Aviation,7.6.0-7.6.6,,,IBM,2021-09-30,,
IBM Maximo Production Optimization On-Premises,1.0.x,,,IBM,2020-09-30,,
IBM Maximo Production Quality Insights On-Premises,1.4.x,,,IBM,2022-04-30,,
IBM Maximo Workforce Assistant Solutions On-Premises,1.0.x,,,IBM,2023-09-30,,
IBM Maximo Workforce Assistant Solutions On-Premises,1.1.x,,,IBM,2022-04-30,,
IBM Media Extender for WebSphere Process Server,6.2.x,,,IBM,2014-04-30,,
IBM Media Extender for WebSphere Process Server,7.0.0,,,IBM,2016-09-30,,
IBM Mediation Appliance for Communications Service Providers,1.1.0,,,IBM,2022-09-30,,
IBM MessageSight,1.0.0,,,IBM,2017-12-31,,
IBM MessageSight,1.1.x,,,IBM,2017-12-31,,
IBM MessageSight,1.2.x,,,IBM,2017-12-31,,
IBM Messaging Extension for Web Application Pattern,2.0.x,,,IBM,2015-09-30,,
IBM Mixed Language Application Modernization Pattern,1.0.0,,,IBM,2015-04-30,,
IBM Mobile Application Platform Pattern,5.0.x,,,IBM,2018-04-30,,
IBM Mobile Application Platform Pattern,6.0.x,,,IBM,2018-09-30,,
IBM Mobile Application Platform Pattern,6.1.x,,,IBM,2019-04-30,,
IBM Mobile Development Lifecycle Solution,4.0.x,,,IBM,2018-04-30,,
IBM Mobile Foundation,5.0.x,,,IBM,2018-04-30,,
IBM Mobile Foundation Consumer Edition,5.0.x,,,IBM,2017-09-29,,
IBM Mobile Foundation Consumer Edition,6.0.x,,,IBM,2018-09-30,,
IBM Mobile Foundation Enterprise Edition,5.0.x,,,IBM,2017-09-29,,
IBM Mobile Foundation Enterprise Edition,6.0.x,,,IBM,2018-09-30,,
IBM Mobile Portal Accelerator,6.1.0,,,IBM,2015-09-30,,
IBM Mobile Portal Accelerator,7.0.x,,,IBM,2016-04-30,,
IBM Mobile Portal Accelerator,8.x.x,,,IBM,2016-04-30,,
IBM MobileFirst Platform Foundation,6.0.x,,,IBM,2018-09-30,,
IBM MobileFirst Platform Foundation,6.1.x,,,IBM,2019-04-30,,
IBM MobileFirst Platform Foundation,6.3.x,,,IBM,2020-04-30,,
IBM MobileFirst Platform Foundation,7.0.x,,,IBM,2018-04-30,,
IBM MobileFirst Platform Foundation,7.1.x,,,IBM,2020-03-31,,
IBM MobileFirst Platform Foundation,8.0.x,,,IBM,2025-09-30,,
IBM MobileFirst Platform Foundation for iOS,6.3.0,,,IBM,2020-04-30,,
IBM MobileFirst Platform Foundation Private Cloud,6.3.0,,,IBM,2016-11-22,,
IBM MobileFirst Quality Assurance,7.0.x,,,IBM,2019-09-30,,
IBM MobileFirst Protect Application Security,2.2.0,,,IBM,2018-01-29,,
IBM MobileFirst Protect Application Security,2.3.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Application Security,2.4.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Applications,2.2.x,,,IBM,2017-04-30,,
IBM MobileFirst Protect Applications,2.3.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Applications,2.4.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Browser,2.2.x,,,IBM,2017-04-30,,
IBM MobileFirst Protect Browser,2.3.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Browser,2.4.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Content,2.2.x,,,IBM,2017-04-30,,
IBM MobileFirst Protect Content,2.3.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Content,2.4.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Devices,2.2.x,,,IBM,2017-04-30,,
IBM MobileFirst Protect Devices,2.3.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Devices,2.4.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Email Management,2.2.x,,,IBM,2017-04-30,,
IBM MobileFirst Protect Email Management,2.3.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Email Management,2.4.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Expenses,2.2.x,,,IBM,2017-04-30,,
IBM MobileFirst Protect Expenses,2.3.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect Expenses,2.4.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect for Blackberry,2.2.x,,,IBM,2017-04-30,,
IBM MobileFirst Protect for Blackberry,2.3.x,,,IBM,2018-01-29,,
IBM MobileFirst Protect for Blackberry,2.4.x,,,IBM,2018-01-29,,
IBM MaaS360 Secure Mobile Mail,2.2.x,,,IBM,2017-04-30,,
IBM MaaS360 Secure Mobile Mail,2.3.x,,,IBM,2018-01-29,,
IBM MaaS360 Secure Mobile Mail,2.4.x,,,IBM,2018-01-29,,
IBM MobileFirst Quality Assurance,6.3.x,,,IBM,2020-04-30,,
IBM Monitoring,8.1.3,,,IBM,2020-03-31,,
"IBM Cloud Application Performance Management, Base Private",8.1.4,,,IBM,2022-09-30,,
IBM MQ,8.0.0,,,IBM,2020-04-30,,
IBM MQ,9.0.x,,,IBM,2021-09-30,,
IBM MQ,9.1.x,,,IBM,2023-09-30,,
IBM MQ Advanced for z/OS,8.0.0,,,IBM,2020-04-30,,
IBM MQ Advanced for z/OS,9.0.x,,,IBM,2021-09-30,,
IBM MQ Advanced for z/OS,9.1.x,,,IBM,2023-09-30,,
IBM MQ Advanced for z/OS Value Unit Edition,9.1.x,,,IBM,2023-09-30,,
IBM MQ Advanced for z/OS Value Unit Edition,9.0.x,,,IBM,2021-09-30,,
IBM MQ Advanced Message Security for z/OS,8.0.0,,,IBM,2020-04-30,,
IBM MQ Advanced Message Security for z/OS,9.0.x,,,IBM,2021-09-30,,
IBM MQ Advanced Message Security for z/OS,9.1.x,,,IBM,2023-09-30,,
IBM MQ Appliance M2000,8.0.0,,,IBM,2020-04-30,,
IBM MQ Appliance M2000,9.0.x,,,IBM,2020-04-30,,
IBM MQ Appliance M2000,9.1.x,,,IBM,2020-04-30,,
IBM MQ Appliance M2001,8.0.0,,,IBM,2020-04-30,,
IBM MQ Appliance M2001,9.0.x,,,IBM,2020-09-09,,
IBM MQ Appliance M2001,9.1.x,,,IBM,2021-09-30,,
IBM MQ Appliance M2002,9.1.x,,,IBM,2021-09-30,,
IBM MQ for HPE NonStop,8.0.x,,,IBM,2021-04-30,,
IBM MQ for HPE NonStop,8.1.x,,,IBM,,,
IBM MQ for z/OS,8.0.0,,,IBM,2020-04-30,,
IBM MQ for z/OS,9.0.x,,,IBM,2021-09-30,,
IBM MQ for z/OS,9.1.x,,,IBM,2023-09-30,,
IBM MQ for z/OS Value Unit Edition,8.0.0,,,IBM,2020-04-30,,
IBM MQ for z/OS Value Unit Edition,9.0.x,,,IBM,2021-09-30,,
IBM MQ for z/OS Value Unit Edition,9.1.x,,,IBM,2023-09-30,,
IBM MQ Light,1.x.x,,,IBM,2017-04-30,,
IBM MQ Managed File Transfer for z/OS,8.0.0,,,IBM,2020-04-30,,
IBM MQ Managed File Transfer for z/OS,9.0.x,,,IBM,2021-09-30,,
IBM MQ Managed File Transfer for z/OS,9.1.x,,,IBM,2023-09-30,,
IBM Multi-Cloud Data Encryption,1.0.x,,,IBM,2020-04-30,,
IBM Multi-Cloud Data Encryption,2.1.x,,,IBM,2020-04-30,,
IBM Multi-Cloud Data Encryption,2.2.x,,,IBM,2020-09-30,,
IBM Multi-Cloud Data Encryption,2.3.x,,,IBM,2020-09-30,,
IBM Multi-Factor Authentication for z/OS,1.3.0,,,IBM,2023-04-30,,
IBM Multi-site Workload Lifeline,1.1.x,,,IBM,2014-09-30,,
IBM Multi-site Workload Lifeline,1.1.x,,,IBM,2014-09-30,,
IBM Multi-site Workload Lifeline,2.0.x,,,IBM,2019-04-30,,
IBM Multi-site Workload Lifeline,2.5.x,,,IBM,,,
IBM Multicloud Manager,3.2.X,,,IBM,2021-09-30,,
IBM National Languages for i,7.1.0,,,IBM,2018-04-30,,
IBM Netcool Performance Manager,1.1.x,,,IBM,2015-09-30,,
IBM Netcool Performance Manager,1.2.0,,,IBM,2018-12-31,,
IBM Netcool Performance Manager,1.3.x,,,IBM,2018-12-31,,
IBM Netcool Performance Manager,1.3.x,,,IBM,2018-12-31,,
IBM Netcool Performance Manager,1.3.x,,,IBM,2020-04-30,,
IBM Netcool Performance Manager,1.4.x,,,IBM,2023-04-30,,
IBM Netcool Performance Manager,1.4.x,,,IBM,,,
IBM Netezza 100-1,1.0.0,,,IBM,2019-06-30,,
IBM Netezza 1000-12,1.0.0,,,IBM,2019-06-30,,
IBM Netezza 1000-120,1.0.0,,,IBM,2019-06-30,,
IBM Netezza 1000-18,1.0.0,,,IBM,2019-06-30,,
IBM Netezza 1000-24,1.0.0,,,IBM,2019-06-30,,
IBM Netezza 1000-3 with European power,1.0.0,,,IBM,2019-06-30,,
IBM Netezza 1000-3 with North American power,1.0.0,,,IBM,2019-06-30,,
IBM Netezza 1000-36,1.0.0,,,IBM,2019-06-30,,
IBM Netezza 1000-48,1.0.0,,,IBM,2019-06-30,,
IBM Netezza 1000-6,1.0.0,,,IBM,2019-06-30,,
IBM Netezza 1000-72,1.0.0,,,IBM,2019-06-30,,
IBM Netezza 1000-96,1.0.0,,,IBM,2019-06-30,,
"IBM Netezza 10050 L, S, and XL models",1.0.0,,,IBM,2014-09-30,,
"IBM Netezza 10100 L, S, and XL models",1.0.0,,,IBM,2014-09-30,,
"IBM Netezza 10200 L, S, XL, and AL models",1.0.0,,,IBM,2014-09-30,,
"IBM Netezza 10400 L, S, and XL models",1.0.0,,,IBM,2014-09-30,,
"IBM Netezza 10600 L, S, and XL models",1.0.0,,,IBM,2014-09-30,,
"IBM Netezza 10800 L, S, and XL models",1.0.0,,,IBM,2014-09-30,,
IBM Netezza 5200,1.0.x,,,IBM,2014-09-30,,
IBM Netezza 8025z,1.0.0,,,IBM,2013-04-30,,
IBM Netezza 8050z,1.0.0,,,IBM,2013-04-30,,
IBM Netezza 8150z,1.0.0,,,IBM,2013-04-30,,
IBM Netezza 8250z,1.0.0,,,IBM,2013-04-30,,
IBM Netezza 8450z,1.0.0,,,IBM,2013-04-30,,
IBM Netezza 8650z,1.0.0,,,IBM,2013-04-30,,
IBM Netezza High Capacity Appliance C1000-16 with European power,1.0.0,,,IBM,2018-04-30,,
IBM Netezza High Capacity Appliance C1000-16 with North American power,1.0.0,,,IBM,2018-04-30,,
IBM Netezza High Capacity Appliance C1000-8 with European power,1.0.0,,,IBM,2018-04-30,,
IBM Netezza High Capacity Appliance C1000-8 with North American power,1.0.0,,,IBM,2018-04-30,,
IBM Netezza Replication Services,1.1.0,,,IBM,2018-04-30,,
IBM Netezza Replication Services,1.5.0,,,IBM,2023-09-30,,
IBM Netezza Replication Services,1.6.0,,,IBM,2023-09-30,,
IBM Now Factory Analytics,8.1.0,,,IBM,2019-09-30,,
IBM Now Factory Analytics,8.2.0,,,IBM,2020-04-30,,
IBM Now Factory Analytics,8.3.x,,,IBM,2020-09-30,,
IBM Now Factory Analytics,9.0.x,,,IBM,2021-04-30,,
IBM Now Factory Analytics,9.1.x,,,IBM,2021-09-30,,
IBM Now Factory Analytics,9.2.x,,,IBM,2021-04-30,,
IBM Now Factory Analytics,9.3.x,,,IBM,2021-04-30,,
IBM Now Factory Analytics,9.4.x,,,IBM,2021-04-30,,
IBM Now Factory Analytics Appliance,1.1.0,,,IBM,2022-09-30,,
IBM Now Factory Sourceworks,5.1.0,,,IBM,2019-09-30,,
IBM Now Factory Sourceworks,5.4.x,,,IBM,2019-09-30,,
IBM Now Factory Sourceworks,5.5.x,,,IBM,2019-09-30,,
IBM Now Factory Sourceworks,5.6.x,,,IBM,2019-09-30,,
IBM Now Factory Sourceworks,5.7.x,,,IBM,2019-09-30,,
IBM Now Factory Sourceworks,5.8.x,,,IBM,2019-09-30,,
IBM OMEGAMON Dashboard Edition on z/OS,5.5.0,,,IBM,,,
IBM OMEGAMON for Application Performance Management,5.4.0,,,IBM,2020-09-30,,
IBM Z OMEGAMON for CICS on z/OS,5.5.x,,,IBM,,,
IBM OMEGAMON for IMS on z/OS,5.5.0,,,IBM,,,
IBM Z OMEGAMON for JVM,5.4.x,,,IBM,2022-09-30,,
IBM OMEGAMON for Messaging for z/OS,7.5.0,,,IBM,,,
IBM OMEGAMON for Networks on z/OS,5.5.0,,,IBM,,,
IBM OMEGAMON for Storage on z/OS,5.4.0,,,IBM,,,
IBM OMEGAMON for z/OS,5.5.0,,,IBM,,,
IBM OMEGAMON for z/OS Management Suite,5.5.0,,,IBM,2023-04-30,,
IBM OMEGAMON Performance Management Suite for z/OS,5.5.x,,,IBM,2023-04-30,,
IBM OMEGAMON z/OS Management Console,4.1.x,,,IBM,2013-09-28,,
IBM Open Banking Platform,1.0.0,,,IBM,2020-04-30,,
IBM Operational Decision Manager,8.0.x,,,IBM,2017-09-30,,
IBM Operational Decision Manager,8.5.x,,,IBM,2018-09-30,,
IBM Operational Decision Manager,8.0.x,,,IBM,2017-09-30,,
IBM Operational Decision Manager,8.10.x,,,IBM,2024-04-30,,
IBM Operational Decision Manager,8.5.x,,,IBM,2018-09-30,,
IBM Operational Decision Manager,8.6.x,,,IBM,2019-09-30,,
IBM Operational Decision Manager,8.7.x,,,IBM,2021-04-30,,
IBM Operational Decision Manager,8.8.x,,,IBM,2021-04-30,,
IBM Operational Decision Manager,8.9.x,,,IBM,2022-04-30,,
IBM Operational Decision Manager Advanced for z/OS,8.8.x,,,IBM,2020-04-30,,
IBM Operational Decision Manager Application Pattern,8.5.x,,,IBM,2018-09-30,,
IBM Operational Decision Manager for z/OS,8.0.x,,,IBM,2017-09-30,,
IBM Operational Decision Manager for z/OS,8.10.x,,,IBM,2024-09-30,,
IBM Operational Decision Manager for z/OS,8.5.x,,,IBM,2018-09-30,,
IBM Operational Decision Manager for z/OS,8.6.x,,,IBM,2019-09-30,,
IBM Operational Decision Manager for z/OS,8.7.x,,,IBM,2020-04-30,,
IBM Operational Decision Manager Pattern on AIX,8.0.x,,,IBM,2018-09-30,,
IBM Operational Decision Manager Pattern on Red Hat Enterprise Linux Server,8.0.x,,,IBM,2017-09-30,,
IBM Operational Decision Manager for z/OS,8.8.x,,,IBM,2021-04-30,,
IBM Operational Decision Manager for z/OS,8.9.x,,,IBM,2022-09-30,,
IBM Operations Analytics - Log Analysis,1.3.x,,,IBM,2022-09-30,,
IBM Operations Analytics for z Systems,2.1.x,,,IBM,2018-09-24,,
IBM Operations Analytics for z Systems,2.2.x,,,IBM,2020-09-30,,
IBM Operations Analytics for z Systems,3.1.0,,,IBM,2020-09-30,,
IBM Opportunity Detect,10.0.x,,,IBM,2019-07-01,,
IBM Opportunity Detect,10.1.x,,,IBM,2019-07-01,,
IBM Opportunity Detect,11.0.x,,,IBM,2019-07-01,,
IBM Opportunity Detect,9.1.x,,,IBM,2019-07-01,,
IBM OS image for AIX Systems,1.0.x,,,IBM,,,
IBM OS Image for Red Hat Linux Systems,1.0.0,,,IBM,2017-09-30,,
IBM OS Image for Red Hat Linux Systems,2.0.x,,,IBM,,,
IBM Parallel Performance Toolkit for POWER,2.3.x,,,IBM,2020-09-30,,
IBM Parallel Performance Toolkit for POWER,2.4.x,,,IBM,2022-09-30,,
IBM Passenger Rail Reservation Service,1.1.0,,,IBM,2018-12-15,,
IBM Planning Analytics Advanced,2.0.x - 2.0.7,,,IBM,2022-04-30,,
IBM Planning Analytics Express,2.0.x - 2.0.7,,,IBM,2022-04-30,,
IBM Planning Analytics Local,2.0.0 - 2.0.7,,,IBM,2022-04-30,,
IBM Power HPC Stack,1.1.0,,,IBM,2020-09-30,,
IBM Power HPC Stack,1.2.x,,,IBM,2021-09-30,,
IBM Power Systems Enterprise Cloud Edition,1.1.x,,,IBM,2021-04-30,,
IBM Power Systems Enterprise Cloud edition with AIX 7.2,1.1.x,,,IBM,2021-04-30,,
IBM PowerAI,1.5.x,,,IBM,2020-09-30,,
IBM PowerAI Enterprise,1.1.x,,,IBM,2020-09-30,,
IBM PowerAI Vision,1.1.x,,,IBM,2021-04-30,,
IBM PowerAI Vision,1.1.x,,,IBM,2021-04-30,,
PowerHA SystemMirror for Linux,7.2.x,,,IBM,2023-04-30,,
IBM Prescriptive Quality for Manufacturing Private,1.0.x,,,IBM,2022-04-30,,
IBM Prescriptive Quality for Manufacturing Private,1.2.x,,,IBM,2022-04-30,,
IBM Presence Zones,1.0.0,,,IBM,2015-07-15,,
IBM Presence Zones,1.0.2,,,IBM,2015-07-15,,
IBM Process Transformation Manager,8.10.x,,,IBM,2020-04-30,,
IBM Process Transformation Manager,8.11.x,,,IBM,2020-04-30,,
IBM Process Transformation Manager,8.9.x,,,IBM,2019-09-30,,
IBM Producer Lifecycle and Credential Management,2.0.x,,,IBM,2020-09-30,,
IBM Production Quality Insights Private,1.0.x,,,IBM,2022-04-30,,
PureApplication System W3500,2.2.5,,,IBM,2020-09-30,,
PureApplication System W3500,2.2.6,,,IBM,2020-12-31,,
IBM PureApplication Platform W3550,2.2.5,,,IBM,2020-09-30,,
IBM PureApplication Platform W3550,2.2.6,,,IBM,2020-12-31,,
IBM QMF Analytics for Multiplatforms,12.1.0,,,IBM,,,
IBM QMF Analytics for Multiplatforms,12.2.0,,,IBM,,,
IBM QRadar 1901 Appliance,7.x.x,,,IBM,2025-12-31,,
BM QRadar xx05 G3 Appliance,7.x.x,,,IBM,2025-12-31,,
IBM QRadar Data Store,7.3.x,,,IBM,2022-09-30,,
IBM QRadar Disaster Recovery Software,7.3.x,,,IBM,2022-09-30,,
IBM QRadar Event Collector 1501 Appliance G3,7.x.x,,,IBM,2025-04-30,,
IBM QRadar Events Capacity,7.3.x,,,IBM,2022-09-30,,
IBM QRadar High Availability Software,7.3.x,,,IBM,2022-09-30,,
IBM Security QRadar Incident Forensics,7.3.x,,,IBM,2022-01-31,,
IBM QRadar Incident Forensics G3 Appliance,7.x.x,,,IBM,2025-09-30,,
IBM QRadar Log Manager Disaster Recovery,7.3.x,,,IBM,2022-09-30,,
IBM QRadar Log Manager High Availability,7.3.x,,,IBM,2022-09-30,,
IBM QRadar Network Insights,7.x.x,,,IBM,2025-12-31,,
IBM QRadar Network Insights Core Appliance 1920-C,7.x.x,,,IBM,2024-06-28,,
IBM QRadar Network Packet Capture,7.x.x,,,IBM,2025-12-31,,
IBM QRadar Network Packet Capture Software,7.2.x,,,IBM,2019-09-25,,
IBM QRadar Network Packet Capture Software,7.3.x,,,IBM,2022-09-30,,
IBM QRadar Network PCAP-C Appliance,7.x.x,,,IBM,2024-06-28,,
IBM Security Network Protection for VMware,5.4.x,,,IBM,2022-12-30,,
IBM QRadar Network Security XGS 5200,5.4.0,,,IBM,2022-12-30,,
IBM Security QRadar SIEM,7.3.x,,,IBM,2022-09-30,,
IBM QRadar,7.3.x,,,IBM,2022-09-30,,
IBM QRadar Software Node,7.3.x,,,IBM,2022-09-30,,
IBM Security QRadar Vulnerability Manager,7.3.x,,,IBM,2022-09-30,,
IBM QRadar XX29 Appliance,7.x.x,,,IBM,2025-12-31,,
IBM QRadar xx48 Appliance,7.x.x,,,IBM,2025-12-31,,
IBM QuickFile,1.0.x,,,IBM,2016-04-30,,
IBM QuickFile,1.1.X,,,IBM,2016-04-30,,
IBM Real-Time Asset Locator,7.1.0,,,IBM,2016-04-30,,
IBM Real-time Compression Software,3.9.0,,,IBM,2014-09-30,,
IBM Real-time Compression Software,4.1.0,,,IBM,2016-04-30,,
IBM Real-time Compression Software for SAS,3.7.0,,,IBM,2014-09-30,,
IBM Real-time Compression Software for SATA,3.7.0,,,IBM,2011-12-03,,
IBM Record Generator for Java,3.0.0,,,IBM,,,
IBM Relationship Resolution,4.1.0,,,IBM,2011-04-29,,
IBM Relationship Resolution,4.2.0,,,IBM,2013-09-30,,
"IBM Resilient Security Orchestration, Automation and Response Platform",26.0.x,,,IBM,2020-09-30,,
"IBM Resilient Security Orchestration, Automation and Response Platform",27.0.x,,,IBM,2020-09-30,,
"IBM Resilient Security Orchestration, Automation and Response Platform",28.0.x,,,IBM,2020-09-30,,
"IBM Resilient Security Orchestration, Automation and Response Platform",29.0.x,,,IBM,2020-09-30,,
"IBM Resilient Security Orchestration, Automation and Response Platform",30.0.x,,,IBM,2020-09-30,,
"IBM Resilient Security Orchestration, Automation and Response Platform",31.0.x,,,IBM,2020-09-30,,
"IBM Resilient Security Orchestration, Automation and Response Platform",32.3.x,,,IBM,2020-09-30,,
"IBM Resilient Security Orchestration, Automation and Response Platform",34.2.x,,,IBM,,,
IBM Retail Data Warehouse,8.1.0,,,IBM,2021-09-30,,
IBM Retail Data Warehouse,8.2.0,,,IBM,2021-09-30,,
IBM Robotic Process Automation with Automation Anywhere,10.x.x,,,IBM,2019-09-30,,
IBM Robotic Process Automation with Automation Anywhere,11.x.x,,,IBM,2022-03-01,,
IBM Runtimes for Business,1.0.0,,,IBM,,,
IBM Runtimes for Business,1.1.x,,,IBM,,,
IBM Safer Payments,6.0.x,,,IBM,2022-04-30,,
IBM Safer Payments,6.1.x,,,IBM,2023-09-30,,
IBM Sales Center for WebSphere Commerce,6.0.x,,,IBM,2017-04-30,,
IBM Sales Center for WebSphere Commerce,7.0.x,,,IBM,2019-04-30,,
IBM SDK for Node.js,12.0.x,,,IBM,2022-09-30,,
IBM SDK for Node.js,6.0.x,,,IBM,2020-09-30,,
IBM SDK for Node.js,8.0.x,,,IBM,2021-09-30,,
IBM SDK for z/OS Java 2 Technology Edition,1.4.x,,,IBM,2011-09-30,,
IBM Sterling Secure Proxy,6.0.x,,,IBM,,,
IBM Secure Service Container,1.1.x,,,IBM,2021-04-30,,
IBM Security 10G Network Active Bypass ABYP-10G-2SR-2LR,1.x.x,,,IBM,2022-12-30,,
IBM Security 10G Network Active Bypass ABYP-10G-4LR,1.x.x,,,IBM,2022-12-30,,
IBM Security Access Manager,7.0.x,,,IBM,2018-09-30,,
IBM Security Access Manager Appliance,9.0.2,,,IBM,2025-09-30,,
IBM Security Access Manager Appliance,9.0.2,,,IBM,2023-04-30,,
IBM Security Access Manager for DataPower,8.0.x,,,IBM,2018-09-30,,
IBM Security Access Manager for DataPower Virtual Edition,8.0.x,,,IBM,2018-09-30,,
IBM Security Access Manager for Enterprise Single Sign-On,8.2.x,,,IBM,2023-04-30,,
IBM Security Access Manager for Mobile,8.0.x,,,IBM,2019-09-30,,
IBM Security Access Manager for Mobile Appliance,8.0.x,,,IBM,2021-01-20,,
IBM Security Access Manager for Web,8.0.x,,,IBM,2019-09-30,,
IBM Security Access Manager for Web Appliance,8.0.x,,,IBM,2021-01-20,,
IBM Security Access Manager Virtual Edition,9.0.x,,,IBM,2022-04-30,,
IBM Security AppScan Mobile Analyzer,0.x.x,,,IBM,2019-07-01,,
IBM Security AppScan Source for Analysis,8.6.x,,,IBM,2016-04-30,,
IBM Security AppScan Source for Analysis,8.7.x,,,IBM,2017-04-30,,
IBM Security AppScan Source for Analysis,8.8.x,,,IBM,2017-04-30,,
IBM Security AppScan Source for Analysis,9.0.x,,,IBM,2019-07-01,,
IBM Security AppScan Source for Automation,8.6.x,,,IBM,2016-04-30,,
IBM Security AppScan Source for Automation,8.7.x,,,IBM,2017-04-30,,
IBM Security AppScan Source for Automation,8.8.x,,,IBM,2017-04-30,,
IBM Security AppScan Source for Automation,9.0.x,,,IBM,2019-07-01,,
